iter	Passed	Remaining
0	1	158
1	2	139
2	4	131
3	4	119
4	6	119
5	7	120
6	8	118
7	10	117
8	11	117
9	12	115
10	14	116
11	15	116
12	17	115
13	18	113
14	19	110
15	20	109
16	22	107
17	23	105
18	24	103
19	25	102
20	26	100
21	28	100
22	29	98
23	30	95
24	31	94
25	32	92
26	33	90
27	34	88
28	35	87
29	36	85
30	37	83
31	38	81
32	39	80
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	48	64
43	49	62
44	50	61
45	50	59
46	52	58
47	53	57
48	53	55
49	54	54
50	54	52
51	55	51
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	63	40
61	64	39
62	65	38
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	88	12
88	89	11
89	90	10
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
